date,symbol,asset_type,strategy,position,close
2025-03-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2005.6099853515625
2025-03-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2091.31982421875
2025-03-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,2065.60693359375
2025-04-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,1962.755126953125
2025-04-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,1988.468017578125
2025-04-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2014.18115234375
2025-04-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,1997.0390625
2025-04-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2082.7490234375
2025-04-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2099.890869140625
2025-04-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2125.603759765625
2025-04-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2185.600830078125
2025-04-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2202.74267578125
2025-04-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2185.600830078125
2025-04-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2254.16845703125
2025-04-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2254.16845703125
2025-04-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2228.45556640625
2025-04-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2194.171630859375
2025-04-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2219.884521484375
2025-04-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2262.739501953125
2025-05-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2025-05-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2314.16552734375
2025-05-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2025-05-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2245.59765625
2025-05-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2202.74267578125
2025-05-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2228.45556640625
2025-05-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2219.884521484375
2025-05-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2279.88134765625
2025-05-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2025-05-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2025-05-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2348.44921875
2025-05-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2357.020263671875
2025-05-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2399.875244140625
2025-05-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2305.59423828125
2025-05-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2399.875244140625
2025-05-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,2425.588134765625
2025-05-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2025-06-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2382.7333984375
2025-06-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2399.875244140625
2025-06-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2417.017333984375
2025-06-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2434.159423828125
2025-06-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2494.156005859375
2025-06-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2588.897216796875
2025-06-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2570.405029296875
2025-06-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2533.4208984375
2025-06-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2533.4208984375
2025-06-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2551.912841796875
2025-06-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2561.158935546875
2025-06-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2487.1904296875
2025-06-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2440.960205078125
2025-06-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2385.48388671875
2025-06-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2394.72998046875
2025-06-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2422.468017578125
2025-06-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2505.6826171875
2025-06-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2570.405029296875
2025-07-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2598.143310546875
2025-07-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,2570.405029296875
2025-07-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2505.6826171875
2025-07-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2431.714111328125
2025-07-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2496.4365234375
2025-07-08,TLKM,stock_id,Buy & Hold (benchmark),1.0,2450.206298828125
2025-07-09,TLKM,stock_id,Buy & Hold (benchmark),1.0,2468.698486328125
2025-07-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2487.1904296875
2025-07-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2524.1748046875
2025-07-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2487.1904296875
2025-07-15,TLKM,stock_id,Buy & Hold (benchmark),1.0,2440.960205078125
2025-07-16,TLKM,stock_id,Buy & Hold (benchmark),1.0,2450.206298828125
2025-07-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2561.158935546875
2025-07-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2561.158935546875
2025-07-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2588.897216796875
2025-07-22,TLKM,stock_id,Buy & Hold (benchmark),1.0,2635.12744140625
2025-07-23,TLKM,stock_id,Buy & Hold (benchmark),1.0,2635.12744140625
2025-07-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2625.88134765625
2025-07-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2607.389404296875
2025-07-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2644.37353515625
2025-07-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,2662.86572265625
2025-07-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,2662.86572265625
2025-07-31,TLKM,stock_id,Buy & Hold (benchmark),1.0,2662.86572265625
2025-08-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,2755.326416015625
